"";"ID";"Exact.age";"Age..BNC1994.groups.";"Age.range";"Gender";"Nationality";"Place.of.birth";"Country.of.birth";"First.language";"Linguistic.origin";"Accent.dialect.as.reported";"City.town.living";"Country.living";"Duration.living..years.";"Dialect.at.Level.1";"Dialect.at.Level.2";"Dialect.at.Level.3";"Dialect.at.Level.4";"Highest.qualification";"Occupation..title";"Class..Social.grade";"Class..NS.SEC";"L2..if.bilingual.";"Foreign.languages.spoken";"Part.of.core.set.of.speakers";"No..Utterance.units.linked.to.this.Speaker.ID";"total";"age_numeric";"include";"age_bins"
"333";"S0341";55;"45-59";"50-59";"Female";"British";"Swansea";"Wales";"English";"England";"Welsh";"Peterborough";"England";"17 years";"uk";"wales";"wales";"wales";"Graduate";"Accountant";"C1";"3";"";"German -- Beginner";"In core set";430;1995;55;TRUE;"50-59"
"334";"S0342";23;"15-24";"19-29";"Male";"British";"Peterborough";"England";"English";"England";"none";"Peterborough";"England";"17 years";"unspecified";"unspecified";"unspecified";"unspecified";"Sixth-form";"Labourer";"D";"7";"";"";"Not in core set";512;5566;23;TRUE;"20-29"
"335";"S0343";55;"45-59";"50-59";"Male";"British";"Liverpool";"England";"English";"England";"Scouse";"Langtoft, Lincolnshire";"England";"4 years";"uk";"england";"north";"liverpool";"Secondary";"Warrant Officer";"C1";"3";"";"German -- Beginner";"In core set";733;7374;55;TRUE;"50-59"
"336";"S0344";25;"25-34";"19-29";"Female";"British";"Peterborough";"England";"English";"England";"none";"Peterborough";"England";"25 years";"unspecified";"unspecified";"unspecified";"unspecified";"Sixth-form";"Sales manager";"A";"01:02";"";"";"In core set";1,203;18377;25;TRUE;"20-29"
"337";"S0345";25;"25-34";"19-29";"Female";"British";"Peterborough";"England";"English";"England";"none";"Deeping St Nichs, Lincolnshire";"England";"25 years";"unspecified";"unspecified";"unspecified";"unspecified";"Sixth-form";"Buyer";"B";"2";"";"";"In core set";524;4669;25;TRUE;"20-29"
"338";"S0346";24;"15-24";"19-29";"Female";"British";"Peterborough";"England";"English";"England";"none";"Stevenage";"England";"6 months";"unspecified";"unspecified";"unspecified";"unspecified";"Graduate";"Bid writer";"B";"2";"";"";"Not in core set";1,257;9499;24;TRUE;"20-29"
"339";"S0347";24;"15-24";"19-29";"Male";"British";"";"England";"English";"England";"none";"Cambridge";"England";"1 years";"unspecified";"unspecified";"unspecified";"unspecified";"Postgrad";"Agronomist";"A";"01:02";"";"";"Not in core set";560;2996;24;TRUE;"20-29"
"340";"S0349";25;"25-34";"19-29";"Female";"British";"Peterborough";"England";"English";"England";"none";"Corby";"England";"1 year";"unspecified";"unspecified";"unspecified";"unspecified";"Graduate";"Mac Artworker";"C1";"3";"";"";"In core set";758;5389;25;TRUE;"20-29"
"341";"S0350";25;"25-34";"19-29";"Female";"British";"Peterborough";"England";"English";"England";"none";"Corby";"England";"1 year";"unspecified";"unspecified";"unspecified";"unspecified";"Graduate";"Mac Artworker";"C1";"3";"";"";"In core set";931;6773;25;TRUE;"20-29"
"342";"S0351";20;"15-24";"19-29";"Male";"British";"Swindon";"England";"English";"England";"South West";"Bristol";"England";"3 years";"uk";"england";"south";"southwest";"Graduate";"student";"E";"* (uncategorised)";"";"";"Not in core set";101;529;20;TRUE;"20-29"
"343";"S0352";18;"15-24";"Nov 18";"Male";"British";"London";"England";"English";"England";"London";"Bristol";"England";"3 months";"uk";"england";"south";"london";"Sixth-form";"student";"E";"* (uncategorised)";"";"";"Not in core set";953;8670;18;TRUE;"10-19"
"344";"S0353";67;"60+";"60-69";"Male";"British";"Sedgeley";"England";"English";"England";"Home counties";"Kyrenia";"Northern Cyprus";"8 years";"uk";"england";"south";"southeast";"Secondary";"Environmental policy officer";"A";"01:02";"";"German -- Intermediate; Turkish -- Intermediate";"Not in core set";1,433;15133;67;TRUE;"60-69"
"345";"S0354";72;"60+";"70-79";"Female";"British";"Smethwick";"England";"English";"England";"Black country";"Kyrenia";"Northern Cyprus";"12 years";"uk";"england";"midlands";"w_midlands";"Postgrad";"Deputy Head Teacher";"B";"2";"";"";"In core set";845;9698;72;TRUE;"70+"
"346";"S0355";64;"60+";"60-69";"Male";"British";"Hove, Sussex";"England";"English";"England";"South";"Hove, Sussex";"England";"64 years";"uk";"england";"south";"unspecified";"Secondary";"Business Owner";"C1";"4";"";"French -- level unspecified";"In core set";1,335;17627;64;TRUE;"60-69"
"347";"S0356";83;"60+";"80-89";"Male";"British";"Thorney, Peterborough";"England";"English";"England";"Fenland";"Farcet, Peterborough";"England";"56 years";"uk";"england";"south";"eastern_engl";"Secondary";"Retired lorry driver";"E";"8";"";"";"Not in core set";67;714;83;TRUE;"70+"
"348";"S0357";21;"15-24";"19-29";"Female";"British";"Whitehaven";"England";"English";"England";"Cumbrian";"Cleator";"England";"21 years";"uk";"england";"north";"northwest";"Graduate";"Support worker";"C1";"3";"";"";"In core set";354;3337;21;TRUE;"20-29"
"349";"S0358";53;"45-59";"50-59";"Male";"British";"Kemsing, Kent";"England";"English";"England";"London/Kent";"London";"UK";"18 years";"uk";"england";"south";"southeast";"Graduate";"Self-employed";"E";"* (uncategorised)";"";"French -- Basic";"Not in core set";817;6703;53;TRUE;"50-59"
"350";"S0359";61;"60+";"60-69";"Male";"British";"Wateringbury";"England";"English";"England";"Kentish";"London";"England";"18 years";"uk";"england";"south";"southeast";"Secondary";"Retired (ex catering)";"E";"8";"";"French -- Basic";"Not in core set";126;716;61;TRUE;"60-69"
"351";"S0360";68;"60+";"60-69";"Female";"British";"Trinidad";"";"English";"British Caribbean";"RP";"Kyrenia";"Cyprus";"11 years";"uk";"england";"unspecified";"unspecified";"Graduate";"Retired";"E";"8";"";"";"Not in core set";856;5852;68;TRUE;"60-69"
"352";"S0361";38;"35-44";"30-39";"Female";"British";"Weymouth, Dorset";"England";"English";"England";"RP";"Kyrenia";"Cyprus";"1 year";"uk";"england";"unspecified";"unspecified";"Postgrad";"student";"E";"* (uncategorised)";"";"French -- level unspecified; German -- level unspecified";"In core set";715;5309;38;TRUE;"30-39"
"353";"S0362";25;"25-34";"19-29";"Male";"British";"Leicester";"England";"English";"England";"none";"Deeping";"England";"13 years";"unspecified";"unspecified";"unspecified";"unspecified";"Postgrad";"Coach/Franchise owner";"B";"2";"";"";"In core set";896;11261;25;TRUE;"20-29"
"354";"S0363";24;"15-24";"19-29";"Female";"British";"Peterborough";"England";"English";"England";"none";"Bourne";"England";"9 years";"unspecified";"unspecified";"unspecified";"unspecified";"Graduate";"Events Manager";"B";"2";"";"";"Not in core set";685;8120;24;TRUE;"20-29"
"355";"S0364";33;"25-34";"30-39";"Male";"British";"Edinburgh";"Scotland";"English";"Scotland";"Edinburgh";"Livingston, West Lothian";"Scotland";"2.5 years";"uk";"scotland";"scotland";"scotland";"Postgrad";"Communications Manager";"A";"01:02";"";"";"In core set";369;4635;33;TRUE;"30-39"
"356";"S0365";62;"60+";"60-69";"Male";"British";"London";"England";"English";"England";"London (Essex)";"Edinburgh";"Scotland";"14 years";"uk";"england";"south";"london";"Postgrad";"Research Assistant";"A";"01:02";"";"German -- Basic";"In core set";236;1941;62;TRUE;"60-69"
"357";"S0366";55;"45-59";"50-59";"Female";"British";"Oxford";"England";"English";"Scotland";"Scottish twang";"Edinburgh";"Scotland";"";"uk";"scotland";"scotland";"scotland";"Graduate";"Psychotherapist/Nurse";"B";"2";"";"";"In core set";240;2362;55;TRUE;"50-59"
"358";"S0367";31;"25-34";"30-39";"Male";"Scottish";"Edinburgh";"Scotland";"English";"Scotland";"Scottish";"Edinburgh";"Scotland";"31.5 years";"uk";"scotland";"scotland";"scotland";"Sixth-form";"Warehouse Regional Trainer";"D";"7";"";"";"In core set";56;1827;31;TRUE;"30-39"
"359";"S0368";82;"60+";"80-89";"Female";"British";"Hull";"England";"English";"England";"Yorkshire";"Hull";"England";"82";"uk";"england";"north";"yorkshire";"Unknown";"Retired";"E";"8";"";"";"In core set";3,135;15084;82;TRUE;"70+"
"360";"S0369";82;"60+";"80-89";"Male";"British";"Hull";"England";"English";"England";"Yorkshire";"Hull";"England";"82";"uk";"england";"north";"yorkshire";"Unknown";"Retired";"E";"8";"";"";"In core set";3,983;39869;82;TRUE;"70+"
"361";"S0370";62;"60+";"60-69";"Male";"British";"Harrow";"England";"English";"England";"London";"Harrow";"England";"35 years";"uk";"england";"south";"london";"Graduate";"Quality & Curriculum Reviewer";"A";"01:02";"";"";"In core set";2,385;21899;62;TRUE;"60-69"
"362";"S0371";NA;"Unknown";"Unknown";"Male";"British";"London";"England";"English";"England";"London";"";"Cyprus";"5 months";"uk";"england";"south";"london";"Graduate";"Entrepreneur";"A";"01:02";"";"";"Not in core set";814;6071;NA;TRUE;NA
"363";"S0372";65;"60+";"60-69";"Male";"British";"Bushey";"UK";"English";"England";"none";"Karsiyaka";"Cyprus";"7 years";"unspecified";"unspecified";"unspecified";"unspecified";"Graduate";"Retired";"E";"8";"German";"French -- Basic; Czech -- Basic";"Not in core set";1,249;9479;65;TRUE;"60-69"
"364";"S0373";59;"45-59";"50-59";"Male";"British";"London";"England";"English";"";"London";"Louth";"England";"12";"uk";"england";"south";"london";"Sixth-form";"Self Employed Decorator";"C1";"4";"";"";"Not in core set";73;385;59;TRUE;"50-59"
"365";"S0374";24;"15-24";"19-29";"Female";"British";"Farnborough, Kent";"England";"English";"England";"South East England (Orpington)";"Dymchurch";"England";"24";"uk";"england";"south";"southeast";"Postgrad";"Science Technician/ trainee teacher/ chef";"B";"2";"";"";"Not in core set";403;4017;24;TRUE;"20-29"
"366";"S0375";24;"15-24";"19-29";"Female";"White British";"Ashford, Kent";"England";"English";"England";"(Southern British English) SSBE";"London";"England";"24";"uk";"england";"south";"unspecified";"Graduate";"Speech and Language therapy (Adult acute)";"A";"01:02";"";"";"Not in core set";532;7645;24;TRUE;"20-29"
"367";"S0376";47;"45-59";"40-49";"Female";"English";"Farnborough, Kent";"England";"English";"England";"South East England";"Dymchurch";"England";"5 yrs 2 months";"uk";"england";"south";"southeast";"Sixth-form";"care assistant";"D";"6";"";"";"Not in core set";859;5691;47;TRUE;"40-49"
"368";"S0377";23;"15-24";"19-29";"Female";"British";"Ashford, Kent";"England";"English";"England";"Southern England";"Dymchurch";"England";"23 years";"uk";"england";"south";"unspecified";"Sixth-form";"Carer";"D";"6";"";"";"Not in core set";388;4013;23;TRUE;"20-29"
"369";"S0378";23;"15-24";"19-29";"Female";"British";"Oxford";"England";"English";"England";"none";"Streathan, London";"England";"2 years";"unspecified";"unspecified";"unspecified";"unspecified";"Postgrad";"Student/ part time survey programmer";"A";"01:02";"";"";"Not in core set";517;5094;23;TRUE;"20-29"
"370";"S0379";53;"45-59";"50-59";"Female";"WB";"Rochester Kent";"England";"English";"UK";"Chatham Kent";"Louth. Lincs";"England";"11 years";"uk";"england";"south";"southeast";"Secondary";"Trainee nurse practitioner";"B";"2";"";"";"Not in core set";691;5571;53;TRUE;"50-59"
"371";"S0380";20;"15-24";"19-29";"Male";"British";"London";"England";"English";"Jamaica";"London";"London";"England";"20 years";"uk";"england";"south";"london";"Graduate";"Student";"E";"* (uncategorised)";"Turkish";"Kurdish -- level unspecified; German -- advanced";"Not in core set";521;5605;20;TRUE;"20-29"
"372";"S0381";45;"45-59";"40-49";"Female";"American";"";"USA";"English";"UK";"American/British";"London";"England";"20 years";"unspecified";"unspecified";"unspecified";"unspecified";"Postgrad";"Academic";"A";"01:02";"";"";"Not in core set";1,457;10164;45;TRUE;"40-49"
"373";"S0382";63;"60+";"60-69";"Male";"British";"Oxford";"England";"English";"England/US";"Professional";"London";"England";"50 years";"unspecified";"unspecified";"unspecified";"unspecified";"Postgrad";"Academic";"A";"01:02";"";"French -- level unspecified";"In core set";1,82;18905;63;TRUE;"60-69"
"374";"S0383";30;"25-34";"30-39";"Male";"British";"Devon";"England";"English";"England";"Devon/London";"London";"England";"6 years";"uk";"england";"south";"unspecified";"Graduate";"Producer - film and photography";"B";"2";"";"";"In core set";1,312;19409;30;TRUE;"30-39"
"375";"S0384";20;"15-24";"19-29";"Male";"British";"Bristol";"England";"English";"English";"Bristolian/Cornish";"Fishponds";"England";"2 years";"uk";"england";"south";"southwest";"Graduate";"student";"E";"* (uncategorised)";"";"";"In core set";540;3886;20;TRUE;"20-29"
"376";"S0386";NA;"Unknown";"Unknown";"Male";"Barbadian";"Barbados";"Barbados";"English";"";"none";"Grantham";"England";"10 years 9 months";"unspecified";"unspecified";"unspecified";"unspecified";"Sixth-form";"Manager";"A";"01:02";"";"";"Not in core set";231;3034;NA;TRUE;NA
"377";"S0387";21;"15-24";"19-29";"Male";"British";"Bridgewater";"England";"English";"English";"Southwest";"Bristol";"England";"3 years";"uk";"england";"south";"southwest";"Graduate";"student";"E";"* (uncategorised)";"";"";"In core set";280;3176;21;TRUE;"20-29"
"378";"S0388";52;"45-59";"50-59";"Female";"British";"Essex";"England";"English";"England";"English/West Country";"Honiton";"England";"30 years";"uk";"england";"south";"southwest";"Sixth-form";"Family support worker";"B";"2";"";"";"Not in core set";530;3078;52;TRUE;"50-59"
"379";"S0389";64;"60+";"60-69";"Female";"British";"Chester";"England";"English";"";"modified RP";"Munich";"Germany";"27 years";"uk";"england";"unspecified";"unspecified";"Postgrad";"EFL teacher";"C1";"3";"";"German -- level unspecified";"Not in core set";295;3819;64;TRUE;"60-69"
"380";"S0390";76;"60+";"70-79";"Female";"British";"Kendal";"England";"British";"UK";"Northern RP";"Near Thirsk";"England";"12 years";"uk";"england";"north";"unspecified";"Postgrad";"Retired";"E";"8";"";"";"In core set";2,088;19073;76;TRUE;"70+"
"381";"S0391";55;"45-59";"50-59";"Female";"British";"Darlington";"England";"British";"UK";"County Durham";"Near Thirsk";"England";"15 years";"uk";"england";"north";"northeast";"Graduate";"Teacher";"B";"2";"";"";"In core set";5,264;40040;55;TRUE;"50-59"
"382";"S0392";15;"15-24";"Nov 18";"Male";"British";"Newcastle-upon-time";"England";"English";"UK";"Northern/Yorkshire";"Near Thirsk";"UK";"15 years";"uk";"england";"north";"yorkshire";"Secondary";"Full-time education";"E";"* (uncategorised)";"";"";"In core set";6,579;63623;15;TRUE;"10-19"
"383";"S0393";47;"45-59";"40-49";"Male";"British";"Kendal";"England";"English";"UK";"Northern/RP";"Bagby near Thirsk";"UK";"15 years";"uk";"england";"north";"unspecified";"Postgrad";"Writer";"B";"2";"";"";"In core set";3,045;19711;47;TRUE;"40-49"
"384";"S0394";65;"60+";"60-69";"Female";"British";"Hartlepool, County Durham";"England";"English";"UK";"Hartlepool";"Bagby near Thirsk";"UK";"26 years";"uk";"england";"north";"northeast";"Graduate";"Retired";"E";"8";"";"";"Not in core set";203;1595;65;TRUE;"60-69"
"385";"S0395";37;"35-44";"30-39";"Female";"British";"Middlesbrough";"England";"English";"UK";"Teeside";"Bagby near Thirsk";"UK";"26 years";"uk";"england";"north";"northeast";"Graduate";"Teacher";"B";"2";"";"";"In core set";162;1643;37;TRUE;"30-39"
"386";"S0396";64;"60+";"60-69";"Female";"British";"Hartlepool, County Durham";"England";"English";"UK";"Hartlepool";"Bagby near Thirsk";"UK";"26 years";"uk";"england";"north";"northeast";"Graduate";"retired";"E";"8";"";"";"Not in core set";45;256;64;TRUE;"60-69"
"387";"S0397";57;"45-59";"50-59";"Female";"British";"Kingston-upon-Hull, Yorkshire";"England";"English";"UK";"Geordie/ North Eastern";"Gateshead";"UK";"30 years";"uk";"england";"north";"northeast";"Postgrad";"Former teacher";"E";"8";"";"";"Not in core set";1,539;11168;57;TRUE;"50-59"
"388";"S0398";87;"60+";"80-89";"Female";"British";"Darlington";"England";"English";"UK";"Northern (Co Durham/Yorks)";"Bagby near Thirsk";"UK";"18";"uk";"england";"north";"unspecified";"Sixth-form";"Retired";"E";"8";"";"";"Not in core set";155;1351;87;TRUE;"70+"
"389";"S0399";60;"60+";"60-69";"Male";"British";"Northallerton";"England";"English";"UK";"North Yorkshire";"Bagby near Thirsk";"UK";"60";"uk";"england";"north";"yorkshire";"Secondary";"Livestock haulier";"D";"7";"";"";"Not in core set";180;1047;60;TRUE;"60-69"
"390";"S0400";22;"15-24";"19-29";"Male";"English";"Whitehaven";"England";"English";"England";"Cumbrian";"Egremont";"UK";"22 years";"uk";"england";"north";"northwest";"Sixth-form";"Teaching Assistant";"C1";"3";"";"";"In core set";324;2610;22;TRUE;"20-29"
"391";"S0401";57;"45-59";"50-59";"Male";"British";"New Zealand";"Britain";"English";"Britain";"West country (ish)";"Honiton";"UK";"30 years";"uk";"england";"south";"southwest";"Secondary";"Retired health service worker";"E";"8";"";"";"In core set";767;3034;57;TRUE;"50-59"
"392";"S0402";16;"15-24";"Nov 18";"Male";"British";"England";"England";"English";"England";"none";"Southall";"UK";"16 years";"unspecified";"unspecified";"unspecified";"unspecified";"Sixth-form";"n/a";"E";"* (uncategorised)";"";"";"In core set";1,819;18137;16;TRUE;"10-19"
"393";"S0403";16;"15-24";"Nov 18";"Male";"British";"London";"England";"English";"England";"South East London";"Staines";"UK";"19 years 8 months";"uk";"england";"south";"london";"Sixth-form";"n/a";"E";"* (uncategorised)";"";"";"In core set";175;1441;16;TRUE;"10-19"
"394";"S0404";16;"15-24";"Nov 18";"Male";"British";"Taifi";"Saudi Arabia";"English";"England";"British";"Slough";"UK";"10 years";"uk";"unspecified";"unspecified";"unspecified";"Sixth-form";"student, full time";"E";"* (uncategorised)";"Spanish";"Filippino -- level unspecified";"Not in core set";132;1304;16;TRUE;"10-19"
"395";"S0405";17;"15-24";"Nov 18";"Male";"British";"Slough";"UK";"English";"England";"None";"Slough";"UK";"17 years and 6 months";"unspecified";"unspecified";"unspecified";"unspecified";"Sixth-form";"student";"E";"* (uncategorised)";"";"";"Not in core set";6,415;61634;17;TRUE;"10-19"
"396";"S0406";23;"15-24";"19-29";"Male";"British";"Ashington, Northumberland";"GB";"English";"English";"Mixed Northern/Somerset/RP";"London";"UK";"8 months";"uk";"england";"unspecified";"unspecified";"Graduate";"Accountant";"C1";"3";"";"";"Not in core set";100;699;23;TRUE;"20-29"
"397";"S0407";47;"45-59";"40-49";"Female";"British";"Newcastle Upon Tyne";"England";"English";"England";"Newcastle";"Blyth";"UK";"1 year";"uk";"england";"north";"northeast";"Postgrad";"NHS Treatment and Governance Manager Addictions";"A";"01:01";"";"";"Not in core set";120;1163;47;TRUE;"40-49"
"398";"S0408";50;"45-59";"50-59";"Female";"British";"Stannington, Northumberland";"England";"English";"England";"Geordie";"Blyth";"UK";"15 years";"uk";"england";"north";"northeast";"Graduate";"Self Employed Dog Walker";"D";"7";"";"";"Not in core set";195;1641;50;TRUE;"50-59"
"399";"S0409";47;"45-59";"40-49";"Female";"British";"North Shields";"England";"English";"England";"SE Northumberland";"Blyth";"UK";"1 year continuously (24 in total)";"uk";"england";"north";"northeast";"Postgrad";"Education Consultant";"C1";"3";"";"";"Not in core set";236;2420;47;TRUE;"40-49"
"400";"S0410";45;"45-59";"40-49";"Male";"British";"Blyth";"England";"English";"England";"Geordie";"Blyth";"UK";"45 years";"uk";"england";"north";"northeast";"Graduate";"Database Administrator";"B";"2";"";"";"Not in core set";158;1080;45;TRUE;"40-49"
"401";"S0411";46;"45-59";"40-49";"Female";"British";"Middlesex";"England";"English";"England";"Southern";"Brighton";"UK";"all my life";"uk";"england";"south";"unspecified";"Postgrad";"Teacher";"B";"2";"";"";"Not in core set";806;9687;46;TRUE;"40-49"
"402";"S0412";8;"0-14";"0-10";"Female";"British";"England";"England";"English";"England";"Southern";"Brighton";"UK";"all her life";"uk";"england";"south";"unspecified";"Unknown";"Student";"E";"* (uncategorised)";"";"";"Not in core set";63;259;8;TRUE;"0-9"
"403";"S0413";14;"0-14";"Nov 18";"Female";"Irish";"Ireland";"Ireland";"English";"";"Cork, Ireland";"Cork";"Ireland";"14 years";"non_uk";"r_ireland";"r_ireland";"r_ireland";"Unknown";"Student";"E";"* (uncategorised)";"Irish";"";"Not in core set";7;36;14;TRUE;"10-19"
"404";"S0414";17;"15-24";"Nov 18";"Female";"Irish";"Ireland";"Ireland";"English";"";"Cork, Ireland";"Cork";"Ireland";"17 years";"non_uk";"r_ireland";"r_ireland";"r_ireland";"Secondary";"";"Unknown";"Unknown";"Irish";"";"Not in core set";7;43;17;TRUE;"10-19"
"405";"S0415";46;"45-59";"40-49";"Male";"Irish";"Ireland";"Ireland";"English";"";"Cork, Ireland";"Cork";"Ireland";"46 years";"non_uk";"r_ireland";"r_ireland";"r_ireland";"Graduate";"IT manager";"A";"01:02";"Irish";"";"In core set";3,105;26941;46;TRUE;"40-49"
"406";"S0416";12;"0-14";"Nov 18";"Male";"British";"Bristol, England";"UK";"English";"England";"Southern England";"Cork";"Ireland";"5 years";"uk";"england";"south";"unspecified";"Unknown";"Student";"E";"* (uncategorised)";"";"";"In core set";5,733;49647;12;TRUE;"10-19"
"407";"S0417";45;"45-59";"40-49";"Female";"British";"London";"England";"English";"England";"Southern England";"Cork";"Ireland";"5 years";"uk";"england";"south";"unspecified";"Unknown";"not currently working, caring for toddler";"E";"8";"";"some French -- level unspecified";"In core set";10,319;88937;45;TRUE;"40-49"
"408";"S0418";2;"0-14";"0-10";"Male";"Irish";"Cork, Ireland";"Ireland";"English";"";"English/Irish (only just talking)";"Cork";"Ireland";"2 years";"uk";"unspecified";"unspecified";"unspecified";"Unknown";"toddler";"E";"* (uncategorised)";"";"";"Not in core set";1,281;2547;2;TRUE;"0-9"
"409";"S0419";65;"60+";"60-69";"Male";"English";"Costessy";"England";"English";"England";"Norfolk";"Norwich, Norfolk";"England";"65 years";"uk";"england";"south";"eastern_engl";"Secondary";"Retired";"E";"8";"";"";"In core set";1,041;13633;65;TRUE;"60-69"
"410";"S0420";32;"25-34";"30-39";"Male";"Scotish";"Edinburgh";"Scotland";"English";"Scotland";"Edinburgh";"Edinburgh";"Scotland";"20 years";"uk";"scotland";"scotland";"scotland";"Postgrad";"Director of Studies";"A";"01:02";"";"";"In core set";732;7682;32;TRUE;"30-39"
"411";"S0421";18;"15-24";"Nov 18";"Female";"English";"London";"England";"English";"England";"Lancashire";"Lytham St Annes";"England";"6 years";"uk";"england";"north";"northwest";"Sixth-form";"Student";"E";"* (uncategorised)";"Hungarian";"";"In core set";4,413;52213;18;TRUE;"10-19"
"412";"S0422";39;"35-44";"30-39";"Female";"British";"Kosice";"Slovakia";"Hungarian";"England";"East European";"Lytham St Annes";"England";"6 years";"non_uk";"non_uk";"non_uk";"non_uk";"Postgrad";"";"Unknown";"Unknown";"Hungarian";"";"In core set";518;4749;39;TRUE;"30-39"
"413";"S0423";50;"45-59";"50-59";"Male";"British";"Bolton";"England";"English";"England";"Manchester, England";"Mossley";"England";"10 years";"uk";"england";"north";"northwest";"Secondary";"Customer Services";"C1";"3";"";"";"In core set";4,821;54877;50;TRUE;"50-59"
"414";"S0424";44;"35-44";"40-49";"Male";"British";"Manchester";"England";"English";"England";"Manchester, England";"Ninebo";"China";"2 years";"uk";"england";"north";"northwest";"Postgrad";"Lecturer";"A";"01:02";"";"";"In core set";1,519;15083;44;TRUE;"40-49"
"415";"S0425";28;"25-34";"19-29";"Male";"British";"Coventry";"UK";"English";"England";"Midlands";"Coventry";"England";"28";"uk";"england";"midlands";"unspecified";"Postgrad";"PhD Researcher and teacher";"A";"01:02";"";"";"In core set";280;1841;28;TRUE;"20-29"
"416";"S0426";60;"60+";"60-69";"Male";"British";"Cairo";"Egypt";"English";"England";"RP";"Nottingham";"England";"17 years";"uk";"england";"unspecified";"unspecified";"Postgrad";"Professor";"A";"01:02";"";"French -- level unspecified; Spanish -- level unspecified";"Not in core set";1,731;12218;60;TRUE;"60-69"
"417";"S0427";64;"60+";"60-69";"Male";"Welsh";"Tredegar";"Wales";"English";"Wales and England";"South Walian";"Loughborough";"England";"40+";"uk";"wales";"wales";"wales";"Postgrad";"Lecturer";"A";"01:02";"";"Italian -- level unspecified; French -- level unspecified; German -- level unspecified; Some Welsh -- level unspecified";"In core set";1,497;18194;64;TRUE;"60-69"
"418";"S0428";27;"25-34";"19-29";"Female";"British";"Aylesbury, Buckinghamshire";"England";"English";"England";"Eastern";"Cambridge";"England";"1 year 8 months";"uk";"england";"south";"eastern_engl";"Postgrad";"Language Research Co-ordinator";"A";"01:02";"";"Spanish -- level unspecified; Italian -- level unspecified; French -- level unspecified";"In core set";3,887;37612;27;TRUE;"20-29"
"419";"S0429";29;"25-34";"19-29";"Female";"British";"York";"England";"English";"England";"English (Southern and Yorkshire)";"London";"England";"7 years";"uk";"england";"unspecified";"unspecified";"Graduate";"TV producer";"E";"* (uncategorised)";"";"";"In core set";309;3246;29;TRUE;"20-29"
"420";"S0430";27;"25-34";"19-29";"Male";"British";"London";"England";"English";"England";"East End London";"London";"England";"27 years";"uk";"england";"south";"london";"Graduate";"Television producer";"E";"* (uncategorised)";"";"";"In core set";253;2567;27;TRUE;"20-29"
"421";"S0431";29;"25-34";"19-29";"Female";"British";"Birkenhead";"England";"English";"England";"Merseyside/ North-West";"Cambridge";"England";"10 years";"uk";"england";"north";"liverpool";"Graduate";"Language Research Project Manager";"A";"01:02";"";"Spanish -- level unspecified; French -- level unspecified";"Not in core set";111;733;29;TRUE;"20-29"
"422";"S0432";23;"15-24";"19-29";"Female";"White British";"Lincoln";"England";"English";"England";"East Midlands/ East Anglia";"Gamlingay, Cambridgeshire";"England";"10 months";"uk";"england";"unspecified";"unspecified";"Graduate";"Language Research Administrator";"A";"01:02";"";"Spanish -- level unspecified; Chinese -- level unspecified";"Not in core set";2,892;28627;23;TRUE;"20-29"
"423";"S0433";26;"25-34";"19-29";"Female";"British";"Sunderland, Tyne and Wear";"England";"English";"England";"North-Eastern";"Cambridge";"England";"7 years 10 months";"uk";"england";"north";"northeast";"Graduate";"Language Research Project Manager";"A";"01:02";"";"";"Not in core set";53;295;26;TRUE;"20-29"
"424";"S0434";30;"25-34";"30-39";"Female";"British and American";"Pennsylvania";"USA";"English";"Britain probably";"Accent - General American, dialect - British English";"Cambridge";"England";"1 month in Cambridge, 20 years in the UK";"non_uk";"non_uk";"non_uk";"non_uk";"Postgrad";"Senior ELT Research Manager";"A";"01:02";"";"French -- level unspecified";"Not in core set";439;3548;30;TRUE;"30-39"
"425";"S0435";15;"15-24";"Nov 18";"Female";"British";"Crawley, West Sussex";"England";"English";"England";"South Eastern RP";"Horsham";"England";"15 years";"uk";"england";"south";"southeast";"Secondary";"Student";"E";"* (uncategorised)";"";"";"Not in core set";607;8792;15;TRUE;"10-19"
"426";"S0436";22;"15-24";"19-29";"Female";"British";"Crawley, West Sussex";"England";"English";"England";"Standard Southern British English/RP";"Horsham";"England";"22 years";"uk";"england";"south";"unspecified";"Graduate";"student (just graduated)";"E";"* (uncategorised)";"";"";"Not in core set";611;9037;22;TRUE;"20-29"
"427";"S0437";25;"25-34";"19-29";"Female";"British";"England";"England";"English";"England";"Weird mixture";"Cambridge";"England";"10 months";"unspecified";"unspecified";"unspecified";"unspecified";"Postgrad";"Publishing Assistant";"B";"2";"";"";"In core set";347;3747;25;TRUE;"20-29"
"428";"S0438";28;"25-34";"19-29";"Female";"British";"Kuala Lumpur";"Malaysia";"English";"England";"South-East England";"Cambridge";"England";"1 year 2 months";"uk";"england";"south";"southeast";"Postgrad";"Assistant Editor, Publishing";"B";"2";"";"French -- Basic; Korean -- Basic";"Not in core set";293;1720;28;TRUE;"20-29"
"429";"S0439";23;"15-24";"19-29";"Female";"British";"UK";"UK";"English";"England";"Southern - Non-accent";"Cambridge";"England";"6 months";"uk";"england";"south";"unspecified";"Graduate";"Project Co-ordinator";"B";"2";"";"";"Not in core set";17,03;205049;23;TRUE;"20-29"
