"";"ID";"Exact.age";"Age..BNC1994.groups.";"Age.range";"Gender";"Nationality";"Place.of.birth";"Country.of.birth";"First.language";"Linguistic.origin";"Accent.dialect.as.reported";"City.town.living";"Country.living";"Duration.living..years.";"Dialect.at.Level.1";"Dialect.at.Level.2";"Dialect.at.Level.3";"Dialect.at.Level.4";"Highest.qualification";"Occupation..title";"Class..Social.grade";"Class..NS.SEC";"L2..if.bilingual.";"Foreign.languages.spoken";"Part.of.core.set.of.speakers";"No..Utterance.units.linked.to.this.Speaker.ID";"total";"age_numeric";"include";"age_bins"
"164";"S0166";NA;"45-59";"50-59";"Female";"British";"Salford, Greater Manchester";"England";"English";"England";"Northern";"Salford, Greater Manchester";"England";"";"uk";"england";"north";"unspecified";"Secondary";"Site services team leader";"B";"2";"";"";"Not in core set";137;835;54;TRUE;"50-59"
"165";"S0167";24;"15-24";"19-29";"Female";"British";"Ashford, Kent";"England";"English";"England";"South East/Kent";"Romney Marsh, Kent";"England";"24 years";"uk";"england";"south";"southeast";"Graduate";"Copywriter";"B";"2";"";"";"In core set";4,736;56570;24;TRUE;"20-29"
"166";"S0168";NA;"Unknown";"19-29";"Female";"British";"Hartlepool, County Durham";"England";"English";"England";"North East";"Salford, Greater Manchester";"England";"1 month";"uk";"england";"north";"northeast";"Graduate";"Student Nurse";"B";"2";"";"";"Not in core set";62;441;25;TRUE;"20-29"
"167";"S0169";NA;"Unknown";"30-39";"Male";"British";"Cambridge";"England";"English";"England";"Southern";"Cambridge";"England";"2 years";"uk";"england";"south";"unspecified";"Secondary";"Roofer";"C1";"4";"";"";"Not in core set";303;3271;34;TRUE;"30-39"
"168";"S0170";NA;"Unknown";"30-39";"Female";"British";"Stourbridge, West Midlands";"England";"English";"England";"Midlands";"Birmingham";"England";"25 years";"uk";"england";"midlands";"unspecified";"Graduate";"Teacher";"B";"2";"";"Spanish -- Beginner; Polish -- Beginner";"Not in core set";894;12958;34;TRUE;"30-39"
"169";"S0171";NA;"Unknown";"19-29";"Female";"British";"Reading, Berkshire";"England";"English";"England";"Southern";"Cambridge";"England";"4 years";"uk";"england";"south";"unspecified";"Sixth-form";"Admin Assistant";"C1";"3";"";"";"Not in core set";522;7720;25;TRUE;"20-29"
"170";"S0172";NA;"60+";"60-69";"Female";"British";"Bramhall, Cheshire";"England";"English";"England";"Southern";"Stamford, Lincolnshire";"England";"2 years";"uk";"england";"south";"unspecified";"Graduate";"Retired teacher of English";"E";"8";"";"French -- Intermediate";"Not in core set";433;6642;64;TRUE;"60-69"
"171";"S0173";NA;"Unknown";"19-29";"Female";"British";"Derby";"England";"English";"England";"Southern";"Cambridge";"England";"2 years, 6 months";"uk";"england";"south";"unspecified";"Postgrad";"Publications Assisitant, Science Publisher";"B";"2";"";"French -- Advanced; Italian -- Advanced";"Not in core set";760;9440;25;TRUE;"20-29"
"172";"S0174";NA;"60+";"60-69";"Male";"British";"Stamford, Lincolnshire";"England";"English";"England";"Lincolnshire";"Stamford, Lincolnshire";"England";"27 years";"uk";"england";"midlands";"e_midlands";"Graduate";"Retired schoolteacher";"E";"8";"";"";"Not in core set";134;1003;64;TRUE;"60-69"
"173";"S0175";35;"35-44";"30-39";"Female";"British";"London";"England";"English";"England";"Southern";"Cambridge";"England";"9 years, 9 months";"uk";"england";"south";"unspecified";"Graduate";"Administration Officer";"C1";"3";"";"";"In core set";168;3727;35;TRUE;"30-39"
"174";"S0176";50;"45-59";"50-59";"Female";"British";"Ashford, Kent";"England";"English";"England";"Kentish";"Sellindge";"England";"19 years";"uk";"england";"south";"southeast";"Sixth-form";"Teaching Assistant";"C1";"3";"";"";"Not in core set";256;1848;50;TRUE;"50-59"
"175";"S0177";NA;"Unknown";"19-29";"Male";"British";"Halifax, Yorkshire";"England";"English";"England";"Yorkshire";"Halifax, Yorkshire";"England";"19 years";"uk";"england";"north";"yorkshire";"Sixth-form";"Student/barman";"D";"7";"";"";"Not in core set";305;2347;25;TRUE;"20-29"
"176";"S0178";NA;"Unknown";"Nov 18";"Female";"British";"Preston, Lancashire";"England";"English";"England";"Northern";"Salford, Greater Manchester";"England";"6 months";"uk";"england";"north";"unspecified";"Sixth-form";"Student";"E";"* (uncategorised)";"";"";"Not in core set";91;585;14;TRUE;"10-19"
"177";"S0179";23;"15-24";"19-29";"Male";"British";"Harpenden, Hertfordshire";"England";"English";"England";"Southern";"Cambridge";"England";"4 years, 7 months";"uk";"england";"south";"unspecified";"Postgrad";"Consultant engineer";"A";"01:02";"";"French -- Beginner";"In core set";11,375;96053;23;TRUE;"20-29"
"178";"S0180";37;"35-44";"30-39";"Male";"British";"Kingston-upon-Hull, Yorkshire";"England";"English";"England";"Southern";"London";"England";"31";"uk";"england";"south";"unspecified";"Postgrad";"Researcher";"A";"01:02";"";"Kiswahili -- Advanced; French -- Intermediate";"In core set";2,162;21640;37;TRUE;"30-39"
"179";"S0181";NA;"Unknown";"30-39";"Male";"British";"Chelmsford, Essex";"England";"English";"England";"None indicated";"London";"England";"2 years";"unspecified";"unspecified";"unspecified";"unspecified";"Graduate";"Editor";"B";"2";"";"";"Not in core set";263;3537;34;TRUE;"30-39"
"180";"S0182";NA;"Unknown";"19-29";"Female";"British";"London";"England";"English";"England";"None indicated";"London";"England";"10 years";"unspecified";"unspecified";"unspecified";"unspecified";"Graduate";"Teacher";"B";"2";"";"Japanese -- Advanced";"Not in core set";265;2721;25;TRUE;"20-29"
"181";"S0183";NA;"Unknown";"30-39";"Female";"British";"";"Hong Kong";"English";"England";"Southern";"London";"England";"2 years";"uk";"england";"south";"unspecified";"Postgrad";"Accountant";"C1";"3";"Cantonese";"Hakka -- Advanced";"Not in core set";306;3360;34;TRUE;"30-39"
"182";"S0184";23;"15-24";"19-29";"Male";"British";"Birkenhead, Merseyside";"England";"English";"England";"Northern";"Cambridge";"England";"4 years, 6 months";"uk";"england";"north";"unspecified";"Postgrad";"Research Assistant";"A";"01:02";"";"German -- Advanced; French -- Advanced";"Not in core set";509;2724;23;TRUE;"20-29"
"183";"S0185";52;"45-59";"50-59";"Male";"British";"None given";"";"English";"England";"South Eastern";"Sellindge";"England";"19 years";"uk";"england";"south";"southeast";"Sixth-form";"Electrical Surveyor";"A";"01:02";"";"";"Not in core set";236;1822;52;TRUE;"50-59"
"184";"S0186";32;"25-34";"30-39";"Male";"British";"Faversham, Kent";"England";"English";"England";"South East/Kent";"Faversham";"England";"32 years";"uk";"england";"south";"southeast";"Sixth-form";"Silversmith";"C2";"5";"";"";"In core set";248;2125;32;TRUE;"30-39"
"185";"S0187";21;"15-24";"19-29";"Male";"British";"Lincoln";"England";"English";"England";"East Midlands";"Fishponds";"England";"2.5 years";"uk";"england";"midlands";"e_midlands";"Graduate";"Student";"E";"* (uncategorised)";"";"";"In core set";1,265;14558;21;TRUE;"20-29"
"186";"S0188";20;"15-24";"19-29";"Male";"British";"Wrexham";"England";"English";"England";"English";"Ellesmere";"England";"20 years";"uk";"england";"unspecified";"unspecified";"Unknown";"";"Unknown";"Unknown";"";"";"Not in core set";583;4723;20;TRUE;"20-29"
"187";"S0189";24;"15-24";"19-29";"Male";"British";"Bedfordshire";"England";"English";"England";"Cambridge";"";"England";"24";"uk";"england";"south";"eastern_engl";"Sixth-form";"Artworker";"B";"2";"";"";"Not in core set";2,53;18023;24;TRUE;"20-29"
